User Account Name,Followers,Audience Country
victorigoh,4700000,Brazil
karrrambaby,4200000,Russia
staceysolomon,5000000,United Kingdom
karolsevillaofc,14000000,Brazil
yefersoncossio,8200000,Colombia
redbull,15400000,United States
voguemagazine,36700000,United States
annecurtissmith,17600000,Philippines
manugavassi,15300000,Brazil
natgeotravel,45100000,United States
warriors,21300000,United States
martinpdisalvo,3500000,Argentina
iza,15600000,Brazil
maradona,7100000,Argentina
jennaortega,7000000,United States
soydannyalfaro,8000000,Mexico
ricky_martin,16500000,Argentina
alvaromorata,15700000,Italy
ivanaalawi,7700000,Philippines
nabilla,7100000,France
galatasaray,10800000,Turkey
from_jjlee,5300000,Iran
choquei,15800000,Brazil
jashlem,6700000,Mexico
miguel_bernardeau,7100000,Spain
agnezmo,27100000,Indonesia
beberexha,10800000,India
bugatti,16000000,United States
armaanmalik,11400000,India
shrutzhaasan,18800000,India
joshrichards,6900000,United States
gabunion,19700000,United States
adidasoriginals,34400000,United States
sinavaliollah,6300000,Iran
333cyj333,6500000,Thailand
itzan.escamilla,7000000,Brazil
nastya_nass_,7800000,United States
frenchmontana,22600000,United States
porsche,26200000,United States
amorimvivian,7000000,Brazil
shivangijoshi18,6000000,India
queennaija,9000000,United States
ginaindelicada,10700000,Brazil
sebastianyatra,28900000,Argentina
instasamka,5200000,Russia
antdavis23,7100000,United States
troyesivan,12500000,United States
ayutingting92,50600000,Indonesia
its.michhh,5000000,Mexico
perspolis,7200000,Iran
pokrov90,7400000,Russia
trentarnold66,6300000,United Kingdom
willevy,9600000,Brazil
kaliuchis,3700000,United States
becaa_barreto,7500000,Brazil
laurenjauregui,9900000,United States
canyaman,9200000,Italy
noorstars,12300000,Iraq
chaelincl,9700000,Brazil
kaka,17800000,Brazil
i_nivethathomas,5700000,India
actorsuriya,4000000,India
arminzareeiofficial,9300000,Iran
zaskiasungkar15,27400000,Indonesia
kingarturo23oficial,16500000,Italy
jaydacheaves,6700000,United States
